## 人工标注数据

| content                                                      | 是否正负样本 | 关键词                   | 类型     |
| [3条]M丶D:  【韵达快递】亲434466097408983超10小时未取出，如需帮助或有问题请致电15900077340 、020-89725127 | TRUE         | 快递、取件               | 包裹物流 |
| [2条]LJK86:  【智谱AI】亲爱的开发者您好，感谢您参与智谱开放平台满意度调研，您的智谱清言月卡奖励正在发放，请在链接中输入您问卷中填写的手机号查询礼品码，前往PC/APP智谱清言会员充值页，选择“礼品码兑换”。查询链接：https://zhipu-ai.feishu.cn/share/base/query/shr... | FALSE        | 满意度调研               |          |
| [2条]M丶D:  【中国电信】流量满满，温暖相伴，我们特别为你准备了预存领10GB的流量大礼，无论是与家人视频通话，还是朋友间分享趣事，都能畅通无阻，让爱不断线。马上戳  https://vipxjzl.mini189.cn/BG/ 了解吧，具体以实际页面展示为准，如已办理请忽略，转发无效。拒收请回复R | FALSE        | 拒收                     |          |
| [3条]王斯煜[表情]Vince  黑客松nv: 【中通快递】包裹已到深圳光明正大城商业街103号店，取件码3-5-1092。到店扫“取件二维码”，线上查询更方便！询19128399078 | TRUE         | 快递、包裹、取件码       | 包裹物流 |
| 王斯煜[表情]Vince  黑客松nv:  尊敬的*斯煜，您在我行办理的1笔个人贷款需于2024年12月08日17:00前还款，当期还款金额本息合计999999.84元，请您留意尾号0455的账户可用余额是否充足，避免因贷款逾期影响个人征信。具体贷款信息可通过工行网上银行、手机银行或致电贷款经办行查询。【工商银行】 | TRUE         | 银行、贷款、还款         | 支付     |
| [2条]李JK老师-1228:  【51CTO学堂】《DeepSeek训练营》火爆来袭！0元报名，学习AI核心技术，解锁职业新可能 zt60.cn/CMPE9 拒收请回复R | FALSE        | 拒收                     |          |
| [3条]刻刻:  60GB本地數據及5000分鐘本地通話30日組合成功開啟，餘額已被扣除，有效期至10/02/2025 23:59。請立即登入MyLink App  bit.ly/MySimMyLink  進行增值，若賬戶餘額充足，60GB本地數據及5000分鐘本地通話30日組合將每30日以$38自動續期，並於餘額內自動... | FALSE        |                          |          |
| [3条]李JK老师-1228:  【湖南通信】尊敬的用户：您订购的卡已配送暂未签收，为了更好的为您服务，烦请回复：未拿到卡且需要回复1，卡在站点未取件回复2，已取件回复3。如有疑问请拨打4008155555 | TRUE         | 配送、未签收、未取件     | 包裹物流 |
| [2条]李JK老师-1228:  【深势科技】Bohrium用户您好，您有共计余额20.00元的体验卡将于2024-12-24 23:59:59到期，请及时使用。 | FALSE        | 共计余额                 |          |
| [3条]李JK老师-1228:  【讯飞开放平台】到期预警！尊敬的会员用户：您的个人级乐享会员，将于2024-12-08  00:00:00正式到期,截至目前仅剩7天。如您要继续使用，自即日起，7天内完成会员体验问卷http://1024-2019.iflytek.com/h5/vip-ques?t=2024-12-15，即可免费续约... | TRUE         | 到期                     | 到期提醒 |
| M丶D:  【中通快递】73547529665397放在丰巢的包裹请及时取件，如有问题致电15900077340、020-22504077。 | TRUE         | 快递、取件               | 包裹物流 |
| [33条]斯煜[表情]Vince:  【中通快递】包裹已到深圳光明正大城商业街103号店，取件码3-5-1092。到店扫“取件二维码”，线上查询更方便！询19128399078 | TRUE         | 快递、取件、取件码       | 包裹物流 |
| 王斯煜[表情]Vince  黑客松nv: 【申通快递】快递尾号7117已在代收点1天未取，请尽快取件，详询13434525312，最新快递状态请访问t.sto.cn/18PBt4 | TRUE         | 快递、取件               | 包裹物流 |
| [2条]王斯煜[表情]Vince  黑客松nv: 【申通快递】包裹已到深圳光明正大城商业街103号店，取件码5-5-7117。到店扫“取件二维码”，线上查询更方便！询19128399078 | TRUE         | 快递、取件码             | 包裹物流 |
| [2条]王斯煜[表情]Vince  黑客松nv: 【美团月付】您2月账单805.57元待还，最后还款日为本月22号，查账或立即还款点 dpurl.cn/HXFUxEba | TRUE         | 账单、还款               | 支付     |
| [32条]斯煜[表情]Vince:  【美团月付】您2月账单805.57元待还，最后还款日为本月22号，查账或立即还款点 dpurl.cn/HXFUxEba | TRUE         | 账单、还款               | 支付     |
| [30条]斯煜[表情]Vince:  【美团月付】您的2月账单805.57元需要付款，查看详情点击 dpurl.cn/80JQdKHa | TRUE         | 账单、付款               | 支付     |
| [26条]斯煜[表情]Vince:  Mox: 你的Mox Credit月結單已準備就緒。你可登入Mox應用程式查看。 | TRUE         | 账单                     | 支付     |
| 【建设银行】您账户8699于3月22日9时51分向支付宝-天弘基金管理有限公司支出人民币16.88元,可用余额7414.6元。 | FALSE        | 可用余额                 |          |
| [3条]M丶D:  明天九点开会                                     | TRUE         | 时间、开会               | 会议     |
| 【建设银行】您账户8699于3月22日9时42分向支付宝-天弘基金管理有限公司支出人民币16.88元,可用余额7431.48元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月22日9时32分向支付宝-天弘基金管理有限公司支出人民币16.88元,可用余额7448.36元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月22日9时12分向支付宝-天弘基金管理有限公司支出人民币16.88元,可用余额7465.24元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月22日8时53分向支付宝-天弘基金管理有限公司支出人民币16.88元,可用余额7482.12元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月22日18时2分向微信支付-羊城通缴费支出人民币2元,可用余额7397.6元。 | FALSE        | 可用余额                 |          |
| 【招商银行】您的风险评估已到期，为避免错过我行优质产品信息，请及时重评！点击  cmbt.cn/a/zhV 去评估。如已完成或销户请忽略 | FALSE        | 请忽略                   |          |
| 【建设银行】您账户8699于3月22日23时45分向微信支付-西苑出版社支出人民币180元,可用余额7215.6元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月22日22时47分向微信支付-羊城通缴费支出人民币2元,可用余额7395.6元。 | FALSE        | 可用余额                 |          |
| 【中通快递】73547529665397放在丰巢的包裹请及时取件，如有问题致电15900077340、020-22504077。 | TRUE         | 快递、丰巢、取件         | 包裹物流 |
| 【建设银行】您账户8699于3月22日13时16分向微信支付-扫二维码付款支出人民币15元,可用余额7399.6元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月21日8时11分向微信支付-小霞包点（香雪店）支出人民币5.5元,可用余额7566.14元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月21日8时7分向微信支付-羊城通缴费支出人民币3.5元,可用余额7571.64元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月21日20时5分向微信支付-羊城通缴费支出人民币1元,可用余额7519.38元。 | FALSE        | 可用余额                 |          |
| 【中国农业银行】百万立减金限时抢，最高10元立减金等您拿，本月戳  go.abchina.com/k/CfK 直达，先到先得。拒收请回复R | FALSE        | 拒收                     |          |
| 【建设银行】您账户8699于3月21日15时28分向支付宝-天弘基金管理有限公司支出人民币16.88元,可用余额7520.38元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月21日15时28分向支付宝-理财-天弘基金管理有限公司支出人民币16.88元,可用余额7537.26元。 | FALSE        | 可用余额                 |          |
| M丶D:  【话费账单】尊敬的150****9503客户，您02月01日- 02月28日共消费8.00元。主要消费项目包括： | FALSE        | 共消费                   |          |
| 菜鳥包裹HK00083544922到達香港仔置富道19號置富花園19座地下B舖，提件碼7-1-1002，3個工作日内取。 | TRUE         | 菜鸟、包裹、到达、提件码 | 包裹物流 |
| 您的集運單SF3148634434778因其他异常已拒收退回賣家，建議您聯系賣家處理，如有必要可申請退款 | TRUE         | 申请退款                 | 包裹物流 |
| 菜鳥包裹HK00083525678到達香港仔置富道19號置富花園19座地下B舖，提件碼7-1-1004，3個工作日内取。 | TRUE         | 菜鸟、包裹、到达、提件码 | 包裹物流 |
| [10条]王斯煜[表情]Vince  黑客松nv: 菜鳥包裹HK00083544922到達香港仔置富道19號置富花園19座地下B舖，提件碼7-1-1002，3個工作日内取。 | TRUE         | 菜鸟、包裹、到达、提件码 | 包裹物流 |
| [11条]王斯煜[表情]Vince  黑客松nv: 您的集運單SF3148634434778因其他异常已拒收退回賣家，建議您聯系賣家處理，如有必要可申請退款 | TRUE         | 申请退款                 | 包裹物流 |
| 【建设银行】您账户8699于3月21日12时20分向微信支付-扫二维码付款支出人民币12元,可用余额7554.14元。 | FALSE        | 可用余额                 |          |
| [2条]AlisaGG陈G老师1010:  预约一个会和你 15分钟。我也正经了[加油] | TRUE         | 预约、开会、时间         | 会议     |
| 【建设银行】您账户8699于3月20日20时3分向支付宝-天弘基金管理有限公司支出人民币16.88元,可用余额7574.12元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月20日19时51分向微信支付-羊城通缴费支出人民币3.5元,可用余额7591元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月20日18时36分向微信支付-羊城通缴费支出人民币1元,可用余额7594.5元。 | FALSE        | 可用余额                 |          |
| WANG  Siyu: @AlisaGG 6：00PM后 今晚 什么时候有空             | TRUE         | 有空、时间               | 会议     |
| 【建设银行】您账户8699于3月27日8时3分向微信支付-羊城通缴费支出人民币3.5元,可用余额5240.93元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月27日8时28分向微信支付-百度平台商家支出人民币18.95元,可用余额5221.98元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月27日9时12分向支付宝-理财-天弘基金管理有限公司支出人民币16.88元,可用余额5205.1元。 | FALSE        | 可用余额                 |          |
| 【广州银行】您尾号5138的卡片转入人民币550.00元，本期账单已还清。绑定广州银行信用卡官微实时查账。 | FALSE        | 账单、还清               |          |
| 【建设银行】您账户8699于3月27日9时26分向支付宝-黄敏达还款支出人民币550元,可用余额4655.1元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月27日9时32分向支付宝-广州市自来水有限公司支出人民币17.58元,可用余额4637.52元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月27日9时32分向支付宝-天弘基金管理有限公司支出人民币16.88元,可用余额4620.64元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月27日9时48分向微信支付-壹伴助手支出人民币399元,可用余额4221.64元。 | FALSE        | 可用余额                 |          |
| 【广州银行】黄敏达先生，您好。您的信用卡欠款未缴，请即日内还款，否则我行不排除根据客户协议委托第三方公司向您催缴。若已还款无需理会 | TRUE         | 信用卡、还款             | 支付     |
| 【中国农业银行】尊敬的用户，您已超过1个月未登录账户，邀您点击  go.abchina.com/k/C7C 查看账户详情。拒收请回复R | FALSE        | 拒收                     |          |
| 【建设银行】您账户8699于3月27日12时38分向微信支付-兰州拉面（佳大）支出人民币16元,可用余额4205.64元。 | FALSE        | 可用余额                 |          |
| [23条]M丶D: 1000本链接: https://pan.baidu.com/s/13dV3m54iGE8oWgYtkARQPw?pwd=vwq3 提取码: vwq3 复制这段内容后打开百度网盘手机App，操作更方便哦  | FALSE        |    百度网盘              |          |

